pair_id,platform,unit_id,order,elapsed_on_ns,elapsed_off_ns,on_request_hash,off_request_hash
timing-003909,Rikibot,GV1,off_on,22300,15900,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003910,Rikibot,GV2,off_on,21500,15900,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003911,Rikibot,GV1,on_off,23200,16000,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003912,Rikibot,GV2,off_on,23100,15100,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003913,Rikibot,GV1,off_on,23800,16100,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003914,Rikibot,GV2,on_off,31200,17800,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003915,Rikibot,GV1,on_off,24400,16000,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003916,Rikibot,GV2,off_on,27000,16600,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003917,Rikibot,GV1,on_off,24800,16100,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003918,Rikibot,GV2,on_off,24100,17000,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003919,Rikibot,GV1,off_on,23800,15700,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003920,Rikibot,GV2,on_off,25100,16300,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003921,Rikibot,GV1,off_on,24100,16400,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003922,Rikibot,GV2,off_on,24600,16500,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003923,Rikibot,GV1,on_off,22900,15600,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003924,Rikibot,GV2,on_off,23200,17100,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003925,Rikibot,GV1,on_off,23400,15600,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003926,Rikibot,GV2,off_on,22100,15900,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003927,Rikibot,GV1,off_on,23500,17000,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003928,Rikibot,GV2,on_off,22800,15800,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003929,Rikibot,GV1,on_off,23900,15900,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003930,Rikibot,GV2,on_off,23200,16400,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003931,Rikibot,GV1,off_on,24000,16300,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003932,Rikibot,GV2,off_on,23400,15400,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003933,Rikibot,GV1,on_off,22800,15200,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003934,Rikibot,GV2,off_on,23600,15600,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003935,Rikibot,GV1,off_on,24100,15700,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003936,Rikibot,GV2,on_off,22400,15900,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003937,Rikibot,GV1,off_on,22500,15500,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003938,Rikibot,GV2,off_on,22100,16400,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003939,Rikibot,GV1,off_on,24400,16600,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003940,Rikibot,GV2,on_off,24500,16000,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003941,Rikibot,GV1,off_on,22300,15500,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003942,Rikibot,GV2,off_on,21600,15600,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003943,Rikibot,GV1,on_off,21400,15900,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003944,Rikibot,GV2,on_off,22100,16000,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003945,Rikibot,GV1,off_on,23600,16100,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
timing-003946,Rikibot,GV2,on_off,23800,16000,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa,0dbd166aca6f8ccd65dcaac09649d9ad16f00a5241532d2eafdec287c18643aa
timing-003947,Rikibot,GV1,on_off,21900,16100,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f,9b015884c2a74187f0f552da816aff90ceb27281256fa36084478d3e508edd7f
